wconfid,pctid,x,y,z
2.0,50.0,0.992,0.219,-0.16
1.0,70.0,0.941,0.551,-0.797
2.0,80.0,0.953,-0.289,-0.617
2.0,40.0,0.938,-0.059,-0.098
3.0,50.0,1.012,0.07,-0.117
3.0,100.0,0.789,-0.004,0.363
1.0,40.0,1.02,0.066,-0.063
1.0,50.0,0.852,0.063,-0.281
3.0,90.0,0.727,-0.027,-0.02
2.0,75.0,1.43,-0.246,-0.129
2.0,20.0,1.0,-0.047,-0.121
2.0,85.0,0.258,0.035,-0.891
1.0,65.0,1.098,0.133,-0.207
3.0,65.0,0.977,0.078,-0.121
2.0,100.0,-1.578,-1.41,-0.297
3.0,95.0,1.133,0.152,-0.141
1.0,80.0,1.312,1.277,-0.754
1.0,75.0,1.105,-0.105,-0.301
3.0,50.0,1.066,0.102,-0.102
1.0,100.0,2.211,1.977,0.391
2.0,95.0,0.238,0.086,-0.254
1.0,40.0,1.051,-0.039,-0.082
1.0,20.0,0.977,-0.082,-0.137
2.0,60.0,0.879,-0.059,-0.398
1.0,85.0,3.543,1.867,-1.762
2.0,45.0,0.984,-0.059,-0.184
1.0,90.0,-0.246,-0.539,-2.02
2.0,90.0,0.332,0.004,0.527
1.0,85.0,2.039,1.348,-0.234
3.0,55.0,0.953,-0.098,-0.137
2.0,85.0,1.359,-0.094,-0.777
3.0,20.0,1.0,-0.086,-0.148
2.0,80.0,-1.57,-1.035,1.445
1.0,70.0,0.867,-0.25,0.094
3.0,90.0,0.863,0.012,0.023
1.0,85.0,-1.211,-0.246,0.609
3.0,70.0,0.977,0.109,-0.137
1.0,25.0,1.0,-0.016,-0.145
1.0,30.0,0.996,0.121,-0.121
1.0,20.0,0.977,-0.004,-0.145
1.0,25.0,0.973,0.129,-0.121
2.0,35.0,1.016,0.063,-0.105
1.0,65.0,0.988,0.191,-0.199
2.0,40.0,0.965,-0.09,-0.086
2.0,35.0,1.023,0.051,-0.121
3.0,50.0,1.0,-0.066,-0.094
2.0,25.0,0.992,0.082,-0.109
1.0,80.0,0.27,-3.301,-0.082
2.0,50.0,1.051,0.074,-0.168
2.0,95.0,1.031,0.262,1.406
3.0,75.0,1.012,-0.094,-0.137
1.0,85.0,0.996,0.187,-0.84
2.0,55.0,1.113,-0.289,0.031
1.0,70.0,0.918,-1.234,0.004
2.0,35.0,0.988,0.004,-0.113
3.0,40.0,0.984,0.105,-0.125
3.0,35.0,0.988,-0.008,-0.125
1.0,40.0,1.055,-0.039,-0.199
3.0,75.0,1.07,-0.051,-0.172
1.0,65.0,1.066,0.098,-0.164
3.0,75.0,1.098,-0.074,-0.105
3.0,25.0,0.996,-0.063,-0.113
1.0,90.0,1.496,0.996,1.527
2.0,20.0,1.035,-0.039,-0.141
1.0,95.0,5.789,0.0,-2.551
2.0,20.0,1.004,-0.043,-0.137
1.0,60.0,1.215,-0.324,0.023
3.0,55.0,0.969,0.07,-0.082
1.0,100.0,0.52,0.23,0.539
1.0,95.0,0.289,-1.539,-1.129
2.0,30.0,1.004,-0.039,-0.117
1.0,50.0,0.957,-0.312,0.063
2.0,20.0,1.008,0.055,-0.121
1.0,100.0,2.152,2.207,0.848
2.0,45.0,1.031,0.129,-0.063
3.0,60.0,1.105,-0.008,-0.109
3.0,95.0,0.902,-0.207,-0.133
3.0,35.0,0.996,-0.023,-0.125
3.0,90.0,0.777,-0.098,0.086
1.0,40.0,1.055,0.039,-0.145
2.0,85.0,0.766,0.168,0.598
3.0,85.0,0.91,0.023,-0.172
1.0,20.0,1.004,0.113,-0.129
2.0,60.0,1.051,-0.262,0.152
3.0,55.0,0.957,-0.094,-0.117
1.0,85.0,2.027,-0.457,-0.414
3.0,70.0,0.934,0.012,-0.145
2.0,45.0,0.938,0.043,-0.18
1.0,70.0,0.676,-0.254,0.059
2.0,35.0,1.031,0.055,-0.09
1.0,20.0,0.969,-0.094,-0.152
1.0,60.0,1.008,0.246,0.32
2.0,90.0,1.012,0.695,-0.168
1.0,25.0,1.039,0.074,-0.121
2.0,55.0,0.949,0.309,-0.148
2.0,40.0,1.023,-0.074,-0.137
2.0,55.0,1.129,-0.137,-0.078
3.0,60.0,1.047,0.133,-0.105
1.0,65.0,1.039,-0.012,-0.133
2.0,70.0,1.031,-0.105,-0.555
2.0,50.0,0.875,-0.164,0.105
3.0,70.0,0.984,-0.031,-0.129
3.0,80.0,0.871,0.0,0.074
1.0,60.0,1.051,-0.172,-0.43
2.0,55.0,0.957,-0.109,-0.27
3.0,50.0,0.984,0.031,-0.137
1.0,45.0,0.914,0.137,-0.254
1.0,60.0,1.027,0.395,0.203
2.0,20.0,1.027,0.051,-0.102
3.0,30.0,1.004,-0.031,-0.109
1.0,35.0,1.012,-0.059,-0.078
3.0,50.0,1.02,0.063,-0.133
2.0,20.0,0.965,-0.016,-0.133
2.0,90.0,2.059,0.297,0.512
3.0,100.0,1.07,-0.074,-0.254
2.0,60.0,1.004,-0.414,-0.133
2.0,25.0,0.996,0.039,-0.117
2.0,85.0,1.539,-0.293,-0.445
2.0,80.0,1.242,0.785,0.195
2.0,95.0,0.484,0.801,-0.285
2.0,55.0,0.75,0.316,-0.375
1.0,30.0,1.0,-0.008,-0.109
1.0,65.0,0.887,-0.312,-0.168
3.0,20.0,1.0,0.102,-0.109
3.0,70.0,0.992,-0.004,-0.199
1.0,85.0,0.344,-0.641,0.992
2.0,95.0,-7.637,-0.375,2.719
3.0,35.0,0.953,-0.035,-0.145
